Neighbourhood,Assessed Value,nnum,descname
JACKSON HEIGHTS,377642.947,6330,Jackson Heights
JAMIESON PLACE,379952.6174,4220,Jamieson Place
JASPER PARK,255591.5463,4230,Jasper Park
KAMEYOSEK,229861.8942,6340,Kameyosek
KEHEEWIN,308371.137,5250,Keheewin
KENILWORTH,357393.6734,6350,Kenilworth
KENSINGTON,272548.3161,3250,Kensington
KERNOHAN,286907.4649,2390,Kernohan
KESWICK AREA,527102.2847,5574,Keswick
KILDARE,250256.602,2400,Kildare
KILKENNY,289342.0711,2410,Kilkenny
KILLARNEY,290015.0376,2420,Killarney
KING EDWARD PARK,322814.294,6360,King Edward Park
KINISKI GARDENS,338811.6968,6370,Kiniski Gardens
KINOKAMAU PLAINS AREA,529494.9495,4475,Kinokamau Plains Area
KIRKNESS,280726.8594,2430,Kirkness
KLARVATTEN,376142.7941,2440,Klarvatten
LA PERLE,299437.4848,4240,La Perle
LAGO LINDO,321110.5058,2450,Lago Lindo
LANSDOWNE,538645.2903,5260,Lansdowne
LARKSPUR,266593.916,6390,Larkspur
LAUDERDALE,273765.0147,3260,Lauderdale
LAUREL,351228.4682,6444,Laurel
LAURIER HEIGHTS,591003.0778,3270,Laurier Heights
LEE RIDGE,264949.6407,6400,Lee Ridge
LEGER,463105.1133,5630,Leger
LENDRUM PLACE,397448.3487,5270,Lendrum Place
LORELEI,280018.3117,3280,Lorelei
LYMBURN,301682.9672,4270,Lymburn
LYNNWOOD,368489.7998,4280,Lynnwood
MACEWAN,245483.3339,5452,MacEwan
MACTAGGART,428408.3665,5477,Mactaggart
MAGRATH HEIGHTS,529717.7576,5476,Magrath Heights
MALMO PLAINS,340887.0692,5280,Malmo Plains
MAPLE,369445.8328,6441,Maple
MAPLE RIDGE,67926.77506,6410,Maple Ridge
MATT BERRY,359053.9871,2500,Matt Berry
MAYFIELD,278887.1486,4290,Mayfield
MAYLIEWAN,427631.1754,2511,Mayliewan
MCCAULEY,248057.5444,1140,McCauley
MCCONACHIE,322000.7546,2522,McConachie
MCKERNAN,513697.1332,5290,McKernan
MCLEOD,324433.3034,2530,McLeod
MCQUEEN,329008.1259,3300,McQueen
MEADOWLARK PARK,255780.0197,4310,Meadowlark Park
MENISA,326376.7967,6450,Menisa
MEYOKUMIN,291263.1718,6460,Meyokumin
MEYONOHK,260233.0193,6470,Meyonohk
MICHAELS PARK,277774.5567,6480,Michaels Park
MILL WOODS TOWN CENTRE,126328.5413,6520,Mill Woods Town Centre
MILLER,294472.5275,2541,Miller
MINCHAU,305662.9731,6530,Minchau
MONTROSE,234792.6861,2550,Montrose
NEWTON,277813.2748,2560,Newton
NORTH GLENORA,390687.1003,3310,North Glenora
NORTHMOUNT,286893.8142,2580,Northmount
OGILVIE RIDGE,604927.1963,5300,Ogilvie Ridge
OLESKIW,741888.8686,4360,Oleskiw
OLIVER,171125.7141,1150,Oliver
ORMSBY PLACE,321778.4248,4380,Ormsby Place
OTTEWELL,349951.0726,6550,Ottewell
OVERLANDERS,301951.3994,2590,Overlanders
OXFORD,328981.5895,3320,Oxford
OZERNA,392133.2334,2600,Ozerna
PAISLEY,361872.6496,5469,Paisley
PARKALLEN,383775.5489,5310,Parkallen
PARKDALE,211770.2861,1160,Parkdale
PARKVIEW,611340.1218,3330,Parkview
PATRICIA HEIGHTS,448007.1283,4390,Patricia Heights
PEMBINA,103506.3942,3340,Pembina
PLEASANTVIEW,307687.2354,5320,Pleasantview
POLLARD MEADOWS,258536.6057,6580,Pollard Meadows
POTTER GREENS,505190.5382,4710,Potter Greens
PRINCE CHARLES,289895.1515,3350,Prince Charles
PRINCE RUPERT,288200.6422,1170,Prince Rupert
QUEEN ALEXANDRA,288926.481,5330,Queen Alexandra
QUEEN MARY PARK,154283.1167,1180,Queen Mary Park
QUESNELL HEIGHTS,780390.6021,4420,Quesnell Heights
RAMSAY HEIGHTS,415339.6164,5340,Ramsay Heights
RAPPERSWIL,362765.7866,3370,Rapperswill
RHATIGAN RIDGE,584700.6243,5350,Rhatigan Ridge
RICHFIELD,309567.5771,6600,Richfield
RICHFORD,369619.8732,5451,Richford
RIDEAU PARK,231234.003,5360,Rideau Park
RIO TERRACE,538472.7718,4430,Rio Terrace
RITCHIE,276836.8905,6610,Ritchie
RIVERDALE,388241.0194,1210,Riverdale
RIVERVIEW AREA,913257.9127,4463,Riverview Area
ROSENTHAL,326489.756,4750,Rosenthal
ROSSDALE,380351.5725,1220,Rossdale
ROSSLYN,271336.9146,3390,Rosslyn
ROYAL GARDENS,272674.7286,5430,Royal Gardens
RUNDLE HEIGHTS,223691.8938,2660,Rundle Heights
RURAL NORTH EAST HORSE HILL,571680.3456,2670,Rural North East Horse Hill
RURAL NORTH EAST NORTH STURGEON,447445.4829,2690,Rural North East South Sturgeon
RUTHERFORD,293309.6547,5454,Rutherford
SAKAW,307558.0133,6670,Sakaw
SATOO,297015.7122,6680,Satoo
SCHONSEE,322013.9914,2700,Schonsee
SECORD,379999.972,4487,Secord
SHERBROOKE,267141.2238,3410,Sherbrooke
SHERWOOD,257941.0302,4500,Sherwood
SIFTON PARK,270447.9923,2710,Sifton Park
SILVER BERRY,347492.333,6442,Silver Berry
SKYRATTLER,214383.9319,5460,Skyrattler
SOUTH TERWILLEGAR,255568.8905,5642,South Terwillegar
SPRUCE AVENUE,268053.5653,1230,Spruce Avenue
STARLING,417652.8796,4474,Starling
STEINHAUER,366149.2459,5470,Steinhauer
STEWART GREENS,437496.8196,4486,Stewart Greens
STILLWATER,405429.5775,4468,Stillwater
STRATHCONA,287343.9388,5480,Strathcona
STRATHEARN,444839.3068,6710,Strathearn
SUDER GREENS,329716.1303,4730,Suder Greens
SUMMERLEA,253936.4967,4520,Summerlea
SUMMERSIDE,415900.3602,6213,Summerside
SWEET GRASS,296497.7306,5490,Sweet Grass
TAMARACK,368112.6352,6443,Tamarack
TAWA,179684.2598,6720,Tawa
TERRA LOSA,145810.8998,4540,Terra Losa
TERRACE HEIGHTS,326915.3603,6730,Terrace Heights
TERWILLEGAR TOWNE,420981.864,5640,Terwillegar Towne
THE HAMPTONS,340883.8465,4461,The Hamptons
THE ORCHARDS AT ELLERSLIE,366977.7726,6216,The Orchards At Ellerslie
THE UPLANDS,486876.1194,4464,The Uplands
THORNCLIFF,277639.3586,4560,Thorncliff
TIPASKAN,250956.766,6750,Tipaskan
TRUMPETER AREA,413804.7107,4471,Trumpeter Area
TWEDDLE PLACE,307643.1978,6760,Tweddle Place
TWIN BROOKS,500340.1914,5511,Twin Brooks
VIRGINIA PARK,386091.8515,1240,Virginia Park
WALKER,310066.1217,6662,Walker
WEBBER GREENS,432634.897,4740,Webber Greens
WEDGEWOOD HEIGHTS,644922.7858,4570,Wedgewood Heights
WEINLOS,285036.5712,6770,Weinlos
WELLINGTON,274511.2705,3430,Wellington
WEST JASPER PLACE,278319.8025,4580,West Jasper Place
WEST MEADOWLARK PARK,250140.3377,4590,West Meadowlark Park
WESTBROOK ESTATE,1017827.438,5540,Westbrook Estates
WESTMOUNT,279455.5812,3440,Westmount
WESTRIDGE,565800.0184,4610,Westridge
WESTVIEW VILLAGE,53331.09533,4620,Westview Village
WESTWOOD,242358.4314,1250,Westwood
WILD ROSE,362326.3405,6790,Wild Rose
WINDERMERE,463021.347,5570,Windermere
WINDSOR PARK,952184.978,5580,Windsor Park
WOODCROFT,288350.4875,3450,Woodcroft
YORK,264313.3096,2720,York
