Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Diploma,1,50. Visual and performing arts,50.06. Film/video and photographic arts,31000.00,80
Diploma,1,50. Visual and performing arts,50.09. Music,22400.00,100
Diploma,1,51. Health professions and related programs,51.02. Communication disorders sciences and services,53100.00,170
Diploma,1,51. Health professions and related programs,51.06. Dental support services and allied professions,47600.00,170
Diploma,1,51. Health professions and related programs,51.07. Health and medical administrative services,50700.00,50
Diploma,1,51. Health professions and related programs,51.08. Allied health and medical assisting services,38200.00,940
Diploma,1,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",76300.00,1120
Diploma,1,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,66600.00,400
Diploma,1,51. Health professions and related programs,51.15. Mental and social health services and allied professions,32800.00,150
Diploma,1,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,41200.00,400
Diploma,1,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,41900.00,20
Diploma,1,51. Health professions and related programs,51.33. Alternative and complementary medicine and medical systems,26200.00,80
Diploma,1,51. Health professions and related programs,51.35. Somatic bodywork and related therapeutic services,24400.00,90
Diploma,1,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",75700.00,300
Diploma,1,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants",43900.00,2590
Diploma,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",39900.00,1110
Diploma,1,"52. Business, management, marketing and related support services",52.03. Accounting and related services,36700.00,1660
Diploma,1,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,40200.00,270
Diploma,1,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,38900.00,470
Diploma,1,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,32400.00,370
Diploma,1,"52. Business, management, marketing and related support services",52.10. Human resources management and services,45300.00,400
Diploma,1,"52. Business, management, marketing and related support services",52.14. Marketing,37800.00,660
Diploma,1,"52. Business, management, marketing and related support services",52.15. Real estate,60700.00,40
Diploma,1,"52. Business, management, marketing and related support services",52.17. Insurance,50100.00,100
Diploma,1,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",32500.00,230
Diploma,1,"52. Business, management, marketing and related support services",52.20. Construction management,56400.00,110
Diploma,1,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other",43300.00,110
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",54300.00,40
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,46200.00,50
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,44000.00,30
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,41200.00,50
Bachelor's degree,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,50300.00,270
Bachelor's degree,1,03. Natural resources and conservation,03.02. Natural resources management and policy,58500.00,280
Bachelor's degree,1,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,31600.00,60
Bachelor's degree,1,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",32200.00,100
Bachelor's degree,1,"09. Communication, journalism and related programs",09.01. Communication and media studies,43600.00,500
Bachelor's degree,1,"09. Communication, journalism and related programs",09.04. Journalism,39000.00,120
Bachelor's degree,1,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication",41700.00,30
Bachelor's degree,1,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication",46800.00,110
Bachelor's degree,1,10. Communications technologies/technicians and support services,10.03. Graphic communications,41400.00,40
Bachelor's degree,1,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",60500.00,320
Bachelor's degree,1,11. Computer and information sciences and support services,11.07. Computer science,55200.00,530
Bachelor's degree,1,13. Education,"13.01. Education, general",48000.00,200
Bachelor's degree,1,13. Education,13.05. Educational/instructional media design,79400.00,30
Bachelor's degree,1,13. Education,"13.12. Teacher education and professional development, specific levels and methods",50500.00,4690
Bachelor's degree,1,13. Education,"13.13. Teacher education and professional development, specific subject areas",51700.00,2980
Bachelor's degree,1,14. Engineering,14.05. Bioengineering and biomedical engineering,68100.00,70
Bachelor's degree,1,14. Engineering,14.07. Chemical engineering,81600.00,740
Bachelor's degree,1,14. Engineering,14.08. Civil engineering,69300.00,810
Bachelor's degree,1,14. Engineering,14.09. Computer engineering,59500.00,250
Bachelor's degree,1,14. Engineering,"14.10. Electrical, electronics and communications engineering",70500.00,700
Bachelor's degree,1,14. Engineering,14.12. Engineering physics/applied physics,44000.00,40
Bachelor's degree,1,14. Engineering,14.14. Environmental/environmental health engineering,69600.00,120
Bachelor's degree,1,14. Engineering,14.18. Materials engineering,74000.00,150
Bachelor's degree,1,14. Engineering,14.19. Mechanical engineering,75700.00,1160
Bachelor's degree,1,14. Engineering,14.21. Mining and mineral engineering,91500.00,130
Bachelor's degree,1,14. Engineering,14.25. Petroleum engineering,89900.00,250
Bachelor's degree,1,14. Engineering,14.38. Surveying engineering,62800.00,120
Bachelor's degree,1,15. Engineering technologies and engineering-related fields,15.15. Engineering-related fields,72500.00,120
Bachelor's degree,1,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",33400.00,90
Bachelor's degree,1,"16. Aboriginal and foreign languages, literatures and linguistics","16.03. East Asian languages, literatures and linguistics",19800.00,50
Bachelor's degree,1,"16. Aboriginal and foreign languages, literatures and linguistics","16.09. Romance languages, literatures and linguistics",27000.00,40
Bachelor's degree,1,"16. Aboriginal and foreign languages, literatures and linguistics","16.12. Classics and classical languages, literatures and linguistics",29900.00,40
Bachelor's degree,1,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",38600.00,110
Bachelor's degree,1,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",43400.00,220
Bachelor's degree,1,22. Legal professions and studies,"22.99. Legal professions and studies, other",41700.00,90
Bachelor's degree,1,23. English language and literature/letters,"23.01. English language and literature, general",32800.00,730
Bachelor's degree,1,23. English language and literature/letters,23.13. English rhetoric and composition/writing studies,42500.00,140
Bachelor's degree,1,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",42300.00,880
Bachelor's degree,1,26. Biological and biomedical sciences,"26.01. Biology, general",34800.00,1030
Bachelor's degree,1,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,31800.00,60
Bachelor's degree,1,26. Biological and biomedical sciences,26.04. Cell/cellular biology and anatomical sciences,36800.00,80
Bachelor's degree,1,26. Biological and biomedical sciences,26.05. Microbiological sciences and immunology,41800.00,50
Bachelor's degree,1,26. Biological and biomedical sciences,26.07. Zoology/animal biology,28800.00,110
Bachelor's degree,1,26. Biological and biomedical sciences,26.08. Genetics,33600.00,30
Bachelor's degree,1,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences",28600.00,20
Bachelor's degree,1,26. Biological and biomedical sciences,"26.13. Ecology, evolution, systematics and population biology",41900.00,220
Bachelor's degree,1,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,33100.00,50
Bachelor's degree,1,27. Mathematics and statistics,27.01. Mathematics,36300.00,120
Bachelor's degree,1,27. Mathematics and statistics,27.03. Applied mathematics,37800.00,50
Bachelor's degree,1,27. Mathematics and statistics,27.05. Statistics,48500.00,20
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,33500.00,50
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,30.18. Natural sciences,45700.00,90
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,30.19. Nutrition sciences,66200.00,170
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other",34500.00,50
Bachelor's degree,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,37400.00,920
Bachelor's degree,1,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics",33900.00,130
Bachelor's degree,1,40. Physical sciences,"40.01. Physical sciences, general",36400.00,40
Bachelor's degree,1,40. Physical sciences,40.05. Chemistry,42900.00,200
Bachelor's degree,1,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,61500.00,700
Bachelor's degree,1,40. Physical sciences,40.08. Physics,39400.00,60
Bachelor's degree,1,42. Psychology,"42.01. Psychology, general",38000.00,1870
Bachelor's degree,1,42. Psychology,"42.28. Clinical, counselling and applied psychology",58000.00,60
Bachelor's degree,1,43. Security and protective services,43.01. Criminal justice and corrections,52600.00,300
Bachelor's degree,1,43. Security and protective services,"43.99. Security and protective services, other",110800.00,80
Bachelor's degree,1,44. Public administration and social service professions,"44.00. Human services, general",56200.00,120
Bachelor's degree,1,44. Public administration and social service professions,44.07. Social work,52000.00,720
Bachelor's degree,1,45. Social sciences,"45.01. Social sciences, general",34200.00,50
Bachelor's degree,1,45. Social sciences,45.02. Anthropology,34800.00,300
Bachelor's degree,1,45. Social sciences,45.03. Archaeology,33100.00,90
Bachelor's degree,1,45. Social sciences,45.04. Criminology,45000.00,230
Bachelor's degree,1,45. Social sciences,45.06. Economics,46100.00,660
Bachelor's degree,1,45. Social sciences,45.07. Geography and cartography,49100.00,250
Bachelor's degree,1,45. Social sciences,45.09. International relations and national security studies,39400.00,170
Bachelor's degree,1,45. Social sciences,45.10. Political science and government,37200.00,680
Bachelor's degree,1,45. Social sciences,45.11. Sociology,39000.00,740
Bachelor's degree,1,45. Social sciences,45.12. Urban studies/affairs,43900.00,110
Bachelor's degree,1,50. Visual and performing arts,"50.01. Visual, digital and performing arts, general",31500.00,40
Bachelor's degree,1,50. Visual and performing arts,50.03. Dance,30200.00,20
Bachelor's degree,1,50. Visual and performing arts,50.04. Design and applied arts,35000.00,450
Bachelor's degree,1,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,25200.00,210
Bachelor's degree,1,50. Visual and performing arts,50.06. Film/video and photographic arts,25000.00,110
Bachelor's degree,1,50. Visual and performing arts,50.07. Fine arts and art studies,26800.00,600
Bachelor's degree,1,50. Visual and performing arts,50.09. Music,28000.00,140
Bachelor's degree,1,51. Health professions and related programs,"51.00. Health services/allied health/health sciences, general",25600.00,40
Bachelor's degree,1,51. Health professions and related programs,51.06. Dental support services and allied professions,80100.00,140
Bachelor's degree,1,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",34700.00,30
Bachelor's degree,1,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,68800.00,90
Bachelor's degree,1,51. Health professions and related programs,51.15. Mental and social health services and allied professions,45400.00,130
Bachelor's degree,1,51. Health professions and related programs,51.22. Public health,52100.00,110
Bachelor's degree,1,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",73800.00,6720
Bachelor's degree,1,"52. Business, management, marketing and related support services","52.01. Business/commerce, general",50900.00,2280
Bachelor's degree,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",50600.00,2570
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.03. Accounting and related services,49800.00,2660
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.06. Business/managerial economics,44500.00,160
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,52000.00,780
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,36400.00,50
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.10. Human resources management and services,53400.00,720
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,51000.00,400
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.12. Management information systems and services,54700.00,60
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,47800.00,110
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.14. Marketing,45900.00,670
Bachelor's degree,1,54. History,54.01. History,35000.00,510
Bachelor's degree,1,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",39300.00,70
Professional bachelor's degree,1,22. Legal professions and studies,"22.01. Law (LLB, JD, BCL)",59900.00,1030
Professional bachelor's degree,1,51. Health professions and related programs,"51.04. Dentistry (DDS, DMD)",38400.00,30
Professional bachelor's degree,1,51. Health professions and related programs,51.12. Medicine (MD),61700.00,230
Professional bachelor's degree,1,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration",105300.00,500
Professional bachelor's degree,1,51. Health professions and related programs,51.24. Veterinary medicine (DVM),76700.00,40
Master's degree,1,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",53000.00,60
Master's degree,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,67600.00,20
Master's degree,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,70800.00,90
Master's degree,1,04. Architecture and related services,"04.02. Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)",52600.00,130
Master's degree,1,04. Architecture and related services,"04.03. City/urban, community and regional planning",65300.00,40
Master's degree,1,04. Architecture and related services,04.04. Environmental design/architecture,65100.00,30
Master's degree,1,"09. Communication, journalism and related programs",09.01. Communication and media studies,56800.00,20
Master's degree,1,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",93700.00,110
Master's degree,1,11. Computer and information sciences and support services,11.07. Computer science,62700.00,70
Master's degree,1,13. Education,"13.01. Education, general",100300.00,320
Master's degree,1,13. Education,13.04. Educational administration and supervision,97800.00,160
Master's degree,1,13. Education,13.05. Educational/instructional media design,80200.00,100
Master's degree,1,13. Education,"13.06. Educational assessment, evaluation and research",94800.00,510
Master's degree,1,13. Education,"13.12. Teacher education and professional development, specific levels and methods",81100.00,170
Master's degree,1,14. Engineering,14.07. Chemical engineering,89700.00,130
Master's degree,1,14. Engineering,14.08. Civil engineering,81600.00,370
Master's degree,1,14. Engineering,"14.10. Electrical, electronics and communications engineering",74300.00,220
Master's degree,1,14. Engineering,14.18. Materials engineering,85300.00,60
Master's degree,1,14. Engineering,14.19. Mechanical engineering,86900.00,230
Master's degree,1,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",31400.00,30
Master's degree,1,22. Legal professions and studies,22.02. Legal research and advanced professional studies (post-LLB/JD),78600.00,20
Master's degree,1,23. English language and literature/letters,"23.01. English language and literature, general",38400.00,30
Master's degree,1,25. Library science,25.01. Library science and administration,53400.00,150
Master's degree,1,26. Biological and biomedical sciences,"26.01. Biology, general",58600.00,130
Master's degree,1,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,47400.00,20
Master's degree,1,26. Biological and biomedical sciences,26.12. Biotechnology,50100.00,30
Master's degree,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,58600.00,70
Master's degree,1,40. Physical sciences,40.05. Chemistry,55000.00,40
Master's degree,1,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,88500.00,150
Master's degree,1,42. Psychology,"42.01. Psychology, general",56800.00,60
Master's degree,1,42. Psychology,"42.28. Clinical, counselling and applied psychology",61100.00,450
Master's degree,1,44. Public administration and social service professions,44.07. Social work,69100.00,440
Master's degree,1,45. Social sciences,45.02. Anthropology,53700.00,40
Master's degree,1,45. Social sciences,45.06. Economics,70400.00,70
Master's degree,1,45. Social sciences,45.07. Geography and cartography,56900.00,50
Master's degree,1,45. Social sciences,45.10. Political science and government,55700.00,50
Master's degree,1,50. Visual and performing arts,50.04. Design and applied arts,36300.00,30
Master's degree,1,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,45400.00,20
Master's degree,1,51. Health professions and related programs,51.02. Communication disorders sciences and services,73400.00,180
Master's degree,1,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)",57000.00,80
Master's degree,1,51. Health professions and related programs,51.22. Public health,68600.00,230
Master's degree,1,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,71700.00,560
Master's degree,1,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",94600.00,940
Master's degree,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",109000.00,1560
Master's degree,1,"52. Business, management, marketing and related support services",52.12. Management information systems and services,80400.00,50
Master's degree,1,54. History,54.01. History,37100.00,40
Doctoral degree,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,38500.00,30
Doctoral degree,1,11. Computer and information sciences and support services,11.07. Computer science,49000.00,70
Doctoral degree,1,13. Education,"13.01. Education, general",105200.00,50
Doctoral degree,1,13. Education,"13.06. Educational assessment, evaluation and research",98300.00,50
Doctoral degree,1,13. Education,"13.12. Teacher education and professional development, specific levels and methods",67100.00,50
Doctoral degree,1,14. Engineering,14.07. Chemical engineering,113000.00,30
Doctoral degree,1,14. Engineering,14.08. Civil engineering,90400.00,110
Doctoral degree,1,14. Engineering,"14.10. Electrical, electronics and communications engineering",63400.00,130
Doctoral degree,1,14. Engineering,14.18. Materials engineering,83800.00,70
Doctoral degree,1,14. Engineering,14.19. Mechanical engineering,63700.00,50
Doctoral degree,1,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",25500.00,40
Doctoral degree,1,23. English language and literature/letters,"23.01. English language and literature, general",50800.00,40
Doctoral degree,1,26. Biological and biomedical sciences,"26.01. Biology, general",31300.00,100
